Path,ReturnCode
../shapes/AircraftBuoyant/m1337.obj,0
../shapes/AircraftBuoyant/m1349.obj,0
../shapes/AircraftBuoyant/m1344.obj,0
../shapes/AircraftBuoyant/m1352.obj,0
../shapes/AircraftBuoyant/m1338.obj,0
../shapes/AircraftBuoyant/m1351.obj,0
../shapes/Apartment/D00953.obj,0
../shapes/Apartment/D00366.obj,0
../shapes/Apartment/D00639.obj,0
../shapes/Apartment/D00626.obj,0
../shapes/AquaticAnimal/m68.obj,0
../shapes/AquaticAnimal/m78.obj,0
../shapes/AquaticAnimal/m66.obj,0
../shapes/AquaticAnimal/m81.obj,0
../shapes/AquaticAnimal/m57.obj,0
../shapes/AquaticAnimal/m56.obj,0
../shapes/Bed/D00735.obj,0
../shapes/Bed/D00545.obj,0
../shapes/Bed/D00650.obj,0
../shapes/Bed/D00307.obj,0
../shapes/Bed/D00184.obj,0
../shapes/Bed/D00839.obj,0
../shapes/Bicycle/D00567.obj,0
../shapes/Bicycle/m1476.obj,0
../shapes/Bicycle/D00016.obj,0
../shapes/Bicycle/D00621.obj,0
../shapes/Bicycle/D00077.obj,0
../shapes/Bicycle/D00558.obj,0
../shapes/Biplane/m1137.obj,0
../shapes/Biplane/D00666.obj,0
../shapes/Biplane/D00069.obj,0
../shapes/Biplane/m1129.obj,0
../shapes/Biplane/D00490.obj,0
../shapes/Biplane/D00515.obj,0
../shapes/Bird/D00323.obj,0
../shapes/Bird/m48.obj,0
../shapes/Bird/D00762.obj,0
../shapes/Bird/D00438.obj,0
../shapes/Bird/D00271.obj,0
../shapes/Bird/m45.obj,0
../shapes/Bookset/D01110.obj,0
../shapes/Bookset/D01184.obj,0
../shapes/Bookset/D01078.obj,-11
../shapes/Bookset/D01135.obj,0
../shapes/Bottle/D00959.obj,0
../shapes/Bottle/m482.obj,0
../shapes/Bottle/D00892.obj,0
../shapes/Bottle/D00123.obj,0
../shapes/Bottle/D00176.obj,0
../shapes/Bottle/D00166.obj,0
../shapes/BuildingNonResidential/m479.obj,0
../shapes/BuildingNonResidential/m475.obj,0
../shapes/BuildingNonResidential/m414.obj,0
../shapes/BuildingNonResidential/m408.obj,0
../shapes/BuildingNonResidential/m420.obj,0
../shapes/BuildingNonResidential/m421.obj,0
../shapes/Bus/D00832.obj,0
../shapes/Bus/D00516.obj,-11
../shapes/Bus/D00448.obj,0
../shapes/Bus/D00754.obj,0
../shapes/Car/m1561.obj,0
../shapes/Car/m1532.obj,0
../shapes/Car/m1531.obj,0
../shapes/Car/m1553.obj,0
../shapes/Car/m1486.obj,0
